Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Rushing Yards Allowed,99,1,41,2018,13,26
Rushing Yards Allowed,99,2,44,2018,26,15
Rushing Yards Allowed,99,3,47,2018,28,16
Rushing Yards Allowed,99,4,49,2018,15,10
Rushing Yards Allowed,99,5,51,2017,3,6
Rushing Yards Allowed,99,6,51,2018,13,28
Rushing Yards Allowed,99,7,56,2018,11,16
Rushing Yards Allowed,99,8,64,2017,13,20
Rushing Yards Allowed,99,9,66,2018,29,26
Rushing Yards Allowed,99,10,69,2017,10,13
Rushing Yards Allowed,99,11,83,2018,17,15
Rushing Yards Allowed,99,12,84,2017,24,17
Rushing Yards Allowed,99,13,84,2017,26,10
Rushing Yards Allowed,99,14,85,2017,31,20
Rushing Yards Allowed,99,15,90,2018,29,24
Rushing Yards Allowed,99,16,90,2018,13,22
Rushing Yards Allowed,99,17,90,2018,26,29
Rushing Yards Allowed,99,18,96,2017,17,24
Rushing Yards Allowed,99,19,101,2017,13,3
Rushing Yards Allowed,99,20,108,2017,20,31
Rushing Yards Allowed,99,21,108,2017,10,4
Rushing Yards Allowed,99,22,110,2017,4,10
Rushing Yards Allowed,99,23,112,2018,15,26
Rushing Yards Allowed,99,24,117,2017,4,18
Rushing Yards Allowed,99,25,119,2018,15,17
Rushing Yards Allowed,99,26,121,2018,24,29
Rushing Yards Allowed,99,27,126,2018,26,13
Rushing Yards Allowed,99,28,127,2017,24,26
Rushing Yards Allowed,99,29,134,2018,22,8
Rushing Yards Allowed,99,30,136,2018,16,11
Rushing Yards Allowed,99,31,137,2018,10,15
Rushing Yards Allowed,99,32,139,2018,16,28
Rushing Yards Allowed,99,33,141,2017,3,13
Rushing Yards Allowed,99,34,151,2017,13,10
Rushing Yards Allowed,99,35,152,2017,18,4
Rushing Yards Allowed,99,36,154,2018,8,22
Rushing Yards Allowed,99,37,174,2017,26,24
Rushing Yards Allowed,99,38,180,2017,6,3
Rushing Yards Allowed,99,39,186,2017,2,3
Rushing Yards Allowed,99,40,193,2017,20,13
Rushing Yards Allowed,99,41,198,2017,3,2
Rushing Yards Allowed,99,42,246,2018,28,13
Rushing Yards Allowed,99,43,275,2018,22,13
Total Yards,99,0,544,2018,13,28
Total Yards,99,1,500,2018,26,15
Total Yards,99,2,491,2018,15,10
Total Yards,99,3,475,2017,10,13
Total Yards,99,4,432,2018,28,16
Total Yards,99,5,421,2018,13,22
Total Yards,99,6,414,2018,13,26
Total Yards,99,7,413,2017,2,3
Total Yards,99,8,405,2018,29,26
Total Yards,99,9,403,2017,18,4
Total Yards,99,10,395,2017,13,20
Total Yards,99,11,395,2018,29,24
Total Yards,99,12,388,2018,17,15
Total Yards,99,13,385,2017,13,10
Total Yards,99,14,383,2018,10,15
Total Yards,99,15,371,2017,4,18
Total Yards,99,16,371,2018,16,11
Total Yards,99,17,364,2018,28,13
Total Yards,99,18,363,2018,15,17
Total Yards,99,19,362,2017,13,3
Total Yards,99,20,362,2018,16,28
Total Yards,99,21,361,2017,24,26
Total Yards,99,22,359,2018,22,8
Total Yards,99,23,354,2018,26,29
Total Yards,99,24,352,2017,3,6
Total Yards,99,25,351,2018,11,16
Total Yards,99,26,342,2018,8,22
Total Yards,99,27,337,2017,10,4
Total Yards,99,28,336,2017,10,26
Total Yards,99,29,332,2017,24,17
Total Yards,99,30,327,2017,3,2
Total Yards,99,31,316,2017,4,10
Total Yards,99,32,309,2017,17,24
Total Yards,99,33,309,2018,24,29
Total Yards,99,34,305,2018,15,26
Total Yards,99,35,301,2017,20,13
Total Yards,99,36,298,2017,31,20
Total Yards,99,37,292,2017,26,24
Total Yards,99,38,273,2018,22,13
Total Yards,99,39,272,2017,20,31
Total Yards,99,40,255,2017,3,13
Total Yards,99,41,225,2017,26,10
Total Yards,99,42,214,2017,6,3
Total Yards,99,43,186,2018,26,13
Total Yards Allowed,99,0,186,2018,13,26
Total Yards Allowed,99,1,214,2017,3,6
Total Yards Allowed,99,2,225,2017,10,26
Total Yards Allowed,99,3,255,2017,13,3
Total Yards Allowed,99,4,272,2017,31,20
Total Yards Allowed,99,5,273,2018,13,22
Total Yards Allowed,99,6,292,2017,24,26
Total Yards Allowed,99,7,298,2017,20,31
Total Yards Allowed,99,8,301,2017,13,20
Total Yards Allowed,99,9,305,2018,26,15
Total Yards Allowed,99,10,309,2017,24,17
Total Yards Allowed,99,11,309,2018,29,24
Total Yards Allowed,99,12,316,2017,10,4
Total Yards Allowed,99,13,327,2017,2,3
Total Yards Allowed,99,14,332,2017,17,24
Total Yards Allowed,99,15,336,2017,26,10
Total Yards Allowed,99,16,337,2017,4,10
Total Yards Allowed,99,17,342,2018,22,8
Total Yards Allowed,99,18,351,2018,16,11
Total Yards Allowed,99,19,352,2017,6,3
Total Yards Allowed,99,20,354,2018,29,26
Total Yards Allowed,99,21,359,2018,8,22
Total Yards Allowed,99,22,361,2017,26,24
Total Yards Allowed,99,23,362,2017,3,13
Total Yards Allowed,99,24,362,2018,28,16
Total Yards Allowed,99,25,363,2018,17,15
Total Yards Allowed,99,26,364,2018,13,28
Total Yards Allowed,99,27,371,2017,18,4
Total Yards Allowed,99,28,371,2018,11,16
Total Yards Allowed,99,29,383,2018,15,10
Total Yards Allowed,99,30,385,2017,10,13
Total Yards Allowed,99,31,388,2018,15,17
Total Yards Allowed,99,32,395,2017,20,13
Total Yards Allowed,99,33,395,2018,24,29
Total Yards Allowed,99,34,403,2017,4,18
Total Yards Allowed,99,35,405,2018,26,29
Total Yards Allowed,99,36,413,2017,3,2
Total Yards Allowed,99,37,414,2018,26,13
Total Yards Allowed,99,38,421,2018,22,13
Total Yards Allowed,99,39,432,2018,16,28
Total Yards Allowed,99,40,475,2017,13,10
Total Yards Allowed,99,41,491,2018,10,15
Total Yards Allowed,99,42,500,2018,15,26
Total Yards Allowed,99,43,544,2018,28,13
Pass Attempts,99,0,52,2018,8,22
Pass Attempts,99,1,51,2018,17,15
Pass Attempts,99,2,50,2017,31,20
Pass Attempts,99,3,46,2018,11,16
Pass Attempts,99,4,46,2018,26,29
Pass Attempts,99,5,45,2018,29,26
Pass Attempts,99,6,45,2018,26,15
Pass Attempts,99,7,44,2017,17,24
Pass Attempts,99,8,43,2018,24,29
Pass Attempts,99,9,42,2017,24,26
Pass Attempts,99,10,42,2018,10,15
Pass Attempts,99,11,42,2018,15,26
Pass Attempts,99,12,41,2018,26,13
Pass Attempts,99,13,40,2018,28,13
Pass Attempts,99,14,38,2017,10,13
Pass Attempts,99,15,37,2017,4,18
Pass Attempts,99,16,37,2017,20,13
Pass Attempts,99,17,37,2017,26,10
Pass Attempts,99,18,37,2018,28,16
Pass Attempts,99,19,36,2017,2,3
Pass Attempts,99,20,36,2017,10,4
Pass Attempts,99,21,36,2018,13,28
Pass Attempts,99,22,35,2017,18,4
Pass Attempts,99,23,35,2017,4,10
Pass Attempts,99,24,35,2017,13,3
Pass Attempts,99,25,35,2018,16,28
Pass Attempts,99,26,35,2018,22,13
Pass Attempts,99,27,35,2018,13,26
Pass Attempts,99,28,33,2017,3,13
Pass Attempts,99,29,33,2018,15,10
Pass Attempts,99,30,31,2017,20,31
Pass Attempts,99,31,31,2017,13,10
Pass Attempts,99,32,30,2017,6,3
Pass Attempts,99,33,29,2017,10,26
Pass Attempts,99,34,28,2018,16,11
Pass Attempts,99,35,28,2018,15,17
Pass Attempts,99,36,27,2017,24,17
Pass Attempts,99,37,27,2017,13,20
Pass Attempts,99,38,25,2017,26,24
Pass Attempts,99,39,25,2018,22,8
Pass Attempts,99,40,24,2017,3,2
Pass Attempts,99,41,23,2017,3,6
Pass Attempts,99,42,23,2018,13,22
Pass Attempts,99,43,22,2018,29,24
Rush Attempts,99,0,38,2018,26,15
Rush Attempts,99,1,37,2017,10,13
Rush Attempts,99,2,36,2017,13,20
Rush Attempts,99,3,36,2018,13,28
Rush Attempts,99,4,35,2017,3,6
Rush Attempts,99,5,35,2018,28,16
Rush Attempts,99,6,34,2017,3,2
Rush Attempts,99,7,34,2018,13,26
Rush Attempts,99,8,33,2017,4,18
Rush Attempts,99,9,33,2017,24,17
Rush Attempts,99,10,33,2018,22,8
Rush Attempts,99,11,33,2018,13,22
Rush Attempts,99,12,32,2017,2,3
Rush Attempts,99,13,32,2017,26,24
Rush Attempts,99,14,31,2017,13,3
Rush Attempts,99,15,30,2017,20,31
Rush Attempts,99,16,30,2018,15,10
Rush Attempts,99,17,28,2017,10,26
Rush Attempts,99,18,28,2018,17,15
Rush Attempts,99,19,27,2017,10,4
Rush Attempts,99,20,27,2018,16,11
Rush Attempts,99,21,27,2018,29,26
Rush Attempts,99,22,26,2017,3,13
Rush Attempts,99,23,25,2018,29,24
Rush Attempts,99,24,24,2018,11,16
Rush Attempts,99,25,23,2017,31,20
Rush Attempts,99,26,23,2017,4,10
Rush Attempts,99,27,23,2017,20,13
Rush Attempts,99,28,23,2017,24,26
Rush Attempts,99,29,23,2018,22,13
Rush Attempts,99,30,22,2017,18,4
Rush Attempts,99,31,22,2017,6,3
Rush Attempts,99,32,22,2017,26,10
Rush Attempts,99,33,21,2018,26,29
Rush Attempts,99,34,20,2018,10,15
Rush Attempts,99,35,20,2018,24,29
Rush Attempts,99,36,20,2018,15,17
Rush Attempts,99,37,19,2018,8,22
Rush Attempts,99,38,18,2017,17,24
Rush Attempts,99,39,17,2018,16,28
Rush Attempts,99,40,17,2018,28,13
Rush Attempts,99,41,16,2018,26,13
Rush Attempts,99,42,15,2017,13,10
Rush Attempts,99,43,14,2018,15,26
