Category,Team/All_Teams,Place,Player,Record,Team,Year
Targeted Passes,11,11,1667,43,11,2018
Targeted Passes,11,12,1520,40,11,2017
Targeted Passes,11,13,1667,38,11,2017
Targeted Passes,11,14,1021,35,11,2017
Targeted Passes,11,15,1142,21,11,2018
Targeted Passes,11,16,683,20,11,2017
Targeted Passes,11,17,503,20,11,2018
Targeted Passes,11,18,1114,18,11,2018
Targeted Passes,11,19,2564,12,11,2017
Targeted Passes,11,20,2546,12,11,2018
Targeted Passes,11,21,1054,11,11,2018
Targeted Passes,11,22,2484,10,11,2018
Targeted Passes,11,23,925,6,11,2017
Targeted Passes,11,24,519,1,11,2018
Targeted Passes,11,25,3384,1,11,2018
Passes Dropped,11,0,558,9,11,2017
Passes Dropped,11,1,435,7,11,2017
Passes Dropped,11,2,503,7,11,2017
Passes Dropped,11,3,831,5,11,2017
Passes Dropped,11,4,1520,5,11,2018
Passes Dropped,11,5,3374,3,11,2018
Passes Dropped,11,6,521,2,11,2017
Passes Dropped,11,7,1021,2,11,2017
Passes Dropped,11,8,435,2,11,2018
Passes Dropped,11,9,503,2,11,2018
Passes Dropped,11,10,541,2,11,2018
Passes Dropped,11,11,558,2,11,2018
Passes Dropped,11,12,1520,1,11,2017
Passes Dropped,11,13,1667,1,11,2017
Passes Dropped,11,14,2564,1,11,2017
Passes Dropped,11,15,1667,1,11,2018
100 Yards Receiving,11,0,435,3,11,2018
100 Yards Receiving,11,1,435,2,11,2017
100 Yards Receiving,11,2,521,1,11,2017
100 Yards Receiving,11,3,558,1,11,2017
100 Yards Receiving,11,4,2590,1,11,2018
Interceptions,11,0,148,4,11,2017
Interceptions,11,1,3784,4,11,2018
Interceptions,11,2,613,3,11,2017
Interceptions,11,3,1245,3,11,2017
Interceptions,11,4,613,3,11,2018
Interceptions,11,5,355,2,11,2017
Interceptions,11,6,648,2,11,2017
Interceptions,11,7,355,2,11,2018
Interceptions,11,8,615,1,11,2017
Interceptions,11,9,1774,1,11,2017
Interceptions,11,10,648,1,11,2018
Interceptions,11,11,1245,1,11,2018
Interceptions,11,12,1612,1,11,2018
Interceptions,11,13,3863,1,11,2018
Pass Defense Percentage,11,0,613,808,11,2017
Pass Defense Percentage,11,1,1612,806,11,2018
Pass Defense Percentage,11,2,181,788,11,2018
Pass Defense Percentage,11,3,1245,783,11,2018
Pass Defense Percentage,11,4,613,774,11,2018
Pass Defense Percentage,11,5,1245,767,11,2017
Pass Defense Percentage,11,6,148,765,11,2017
Pass Defense Percentage,11,7,140,763,11,2017
Pass Defense Percentage,11,8,1581,748,11,2018
Pass Defense Percentage,11,9,1581,746,11,2017
Tackles,11,0,355,89,11,2017
Tackles,11,1,1245,83,11,2017
Tackles,11,2,148,82,11,2017
Tackles,11,3,1581,80,11,2018
Tackles,11,4,3784,77,11,2018
Tackles,11,5,1245,75,11,2018
Tackles,11,6,604,68,11,2018
Tackles,11,7,648,67,11,2017
Tackles,11,8,613,67,11,2018
Tackles,11,9,355,65,11,2018
Tackles,11,10,582,64,11,2017
Tackles,11,11,648,58,11,2018
Tackles,11,12,1378,54,11,2017
Tackles,11,13,538,53,11,2017
Tackles,11,14,2847,44,11,2018
Tackles,11,15,140,43,11,2017
Tackles,11,16,613,42,11,2017
Tackles,11,17,574,41,11,2017
Tackles,11,18,2847,40,11,2017
Tackles,11,19,1581,38,11,2017
Tackles,11,20,1612,33,11,2018
Tackles,11,21,181,31,11,2018
Tackles,11,22,1378,29,11,2018
Tackles,11,23,1774,23,11,2018
Tackles,11,24,574,21,11,2018
Tackles,11,25,615,19,11,2017
Tackles,11,26,2130,19,11,2017
Tackles,11,27,1612,18,11,2017
Tackles,11,28,1469,17,11,2018
Tackles,11,29,3020,16,11,2018
Tackles,11,30,3717,16,11,2018
Tackles,11,31,746,15,11,2017
Tackles,11,32,2968,14,11,2018
Tackles,11,33,1230,10,11,2018
Tackles,11,34,1014,7,11,2017
Tackles,11,35,3863,7,11,2018
Tackles,11,36,1783,5,11,2017
Tackles,11,37,435,5,11,2018
Tackles,11,38,2111,5,11,2018
Tackles,11,39,521,4,11,2017
Tackles,11,40,1230,4,11,2017
Tackles,11,41,1469,4,11,2017
Tackles,11,42,1774,3,11,2017
Tackles,11,43,628,3,11,2018
Tackles,11,44,435,2,11,2017
Tackles,11,45,558,2,11,2017
Tackles,11,46,1667,2,11,2017
Tackles,11,47,2907,2,11,2017
Tackles,11,48,464,1,11,2017
Tackles,11,49,503,1,11,2017
Tackles,11,50,1251,1,11,2017
Tackles,11,51,368,1,11,2018
Tackles,11,52,503,1,11,2018
Tackles,11,53,541,1,11,2018
Tackles,11,54,558,1,11,2018
Tackles,11,55,1054,1,11,2018
Tackles,11,56,1251,1,11,2018
Tackles,11,57,1520,1,11,2018
Tackles,11,58,2546,1,11,2018
Tackles,11,59,3374,1,11,2018
Assists,11,0,1245,36,11,2017
Assists,11,1,355,28,11,2017
Assists,11,2,3784,28,11,2018
Assists,11,3,648,26,11,2018
Assists,11,4,604,25,11,2018
Assists,11,5,1245,24,11,2018
Assists,11,6,538,19,11,2017
Assists,11,7,613,19,11,2017
Assists,11,8,355,19,11,2018
Assists,11,9,1581,19,11,2018
Assists,11,10,140,18,11,2017
Assists,11,11,1612,18,11,2018
Assists,11,12,2847,18,11,2018
Assists,11,13,613,17,11,2018
Assists,11,14,648,16,11,2017
Assists,11,15,148,15,11,2017
Assists,11,16,574,15,11,2017
Assists,11,17,582,14,11,2017
Assists,11,18,181,12,11,2018
Assists,11,19,1581,11,11,2017
Assists,11,20,2847,11,11,2017
Assists,11,21,1378,9,11,2018
Assists,11,22,1774,9,11,2018
Assists,11,23,2130,8,11,2017
Assists,11,24,3020,8,11,2018
Assists,11,25,615,7,11,2017
Assists,11,26,1378,7,11,2017
Assists,11,27,2968,7,11,2018
Assists,11,28,1469,6,11,2018
Assists,11,29,1612,5,11,2017
Assists,11,30,1014,4,11,2017
Assists,11,31,1774,4,11,2017
Assists,11,32,628,4,11,2018
Assists,11,33,3717,4,11,2018
Assists,11,34,1230,3,11,2017
Assists,11,35,574,3,11,2018
Assists,11,36,1230,3,11,2018
Assists,11,37,746,2,11,2017
Assists,11,38,1783,2,11,2017
Assists,11,39,2907,1,11,2017
Sacks,11,0,1378,85,11,2018
Sacks,11,1,574,60,11,2017
Sacks,11,2,2847,60,11,2017
Sacks,11,3,2847,60,11,2018
Sacks,11,4,355,40,11,2017
Sacks,11,5,604,35,11,2018
Sacks,11,6,615,30,11,2017
Sacks,11,7,648,30,11,2017
Sacks,11,8,1378,30,11,2017
Sacks,11,9,1469,30,11,2018
Sacks,11,10,1774,30,11,2018
Sacks,11,11,574,25,11,2018
Sacks,11,12,2111,25,11,2018
Sacks,11,13,1014,20,11,2017
Sacks,11,14,648,20,11,2018
Sacks,11,15,2130,15,11,2017
Sacks,11,16,1783,10,11,2017
Sacks,11,17,355,10,11,2018
Sacks,11,18,2968,10,11,2018
Sacks,11,19,3020,10,11,2018
Sacks,11,20,3717,10,11,2018
Sacks,11,21,1469,5,11,2017
Hurries,11,0,2847,19,11,2018
Hurries,11,1,2847,11,11,2017
Hurries,11,2,1378,10,11,2017
Hurries,11,3,604,9,11,2018
Hurries,11,4,574,6,11,2017
Hurries,11,5,648,6,11,2017
Hurries,11,6,2130,5,11,2017
Hurries,11,7,355,4,11,2017
Hurries,11,8,574,4,11,2018
Hurries,11,9,648,4,11,2018
Hurries,11,10,1378,4,11,2018
Hurries,11,11,2111,4,11,2018
Hurries,11,12,1774,3,11,2017
Hurries,11,13,1014,2,11,2017
Hurries,11,14,1469,2,11,2017
Hurries,11,15,1581,2,11,2017
Hurries,11,16,355,2,11,2018
Hurries,11,17,1469,2,11,2018
Hurries,11,18,1774,2,11,2018
Hurries,11,19,3717,2,11,2018
Hurries,11,20,3784,2,11,2018
Hurries,11,21,148,1,11,2017
Hurries,11,22,538,1,11,2017
Hurries,11,23,615,1,11,2017
Hurries,11,24,1783,1,11,2017
Hurries,11,25,1581,1,11,2018
Hurries,11,26,2968,1,11,2018
Blocked Passes,11,0,2847,7,11,2017
Blocked Passes,11,1,2847,4,11,2018
Blocked Passes,11,2,574,3,11,2017
Blocked Passes,11,3,1378,3,11,2017
Blocked Passes,11,4,1378,3,11,2018
Blocked Passes,11,5,574,2,11,2018
Blocked Passes,11,6,2111,2,11,2018
Blocked Passes,11,7,355,1,11,2017
Blocked Passes,11,8,613,1,11,2017
Blocked Passes,11,9,1581,1,11,2017
Blocked Passes,11,10,2130,1,11,2017
Blocked Passes,11,11,355,1,11,2018
Blocked Passes,11,12,1774,1,11,2018
Blocked Passes,11,13,3717,1,11,2018
Blocked Passes,11,14,3784,1,11,2018
Field Goals,11,0,3622,31,11,2018
Field Goals,11,1,1,24,11,2017
Key Run Blocks,11,0,829,40,11,2018
Key Run Blocks,11,1,829,37,11,2017
Key Run Blocks,11,2,297,28,11,2018
Key Run Blocks,11,3,550,24,11,2018
Key Run Blocks,11,4,297,19,11,2017
Key Run Blocks,11,5,1251,19,11,2018
Key Run Blocks,11,6,1300,17,11,2018
Key Run Blocks,11,7,1300,13,11,2017
Key Run Blocks,11,8,2664,11,11,2017
Key Run Blocks,11,9,984,10,11,2017
Key Run Blocks,11,10,1251,10,11,2017
Key Run Blocks,11,11,1797,4,11,2017
Key Run Blocks,11,12,1520,2,11,2018
Key Run Blocks,11,13,558,1,11,2017
Key Run Blocks,11,14,683,1,11,2017
Key Run Blocks,11,15,519,1,11,2018
Key Run Blocks,11,16,558,1,11,2018
Key Run Opportunities,11,0,829,104,11,2017
Key Run Opportunities,11,1,550,101,11,2018
Key Run Opportunities,11,2,829,98,11,2018
Key Run Opportunities,11,3,297,79,11,2018
Key Run Opportunities,11,4,297,65,11,2017
Key Run Opportunities,11,5,1251,58,11,2018
Key Run Opportunities,11,6,1300,57,11,2018
Key Run Opportunities,11,7,1300,51,11,2017
Key Run Opportunities,11,8,2664,38,11,2017
Key Run Opportunities,11,9,1251,29,11,2017
Key Run Opportunities,11,10,984,26,11,2017
Key Run Opportunities,11,11,1797,12,11,2017
Key Run Opportunities,11,12,558,4,11,2017
Key Run Opportunities,11,13,558,4,11,2018
Key Run Opportunities,11,14,1520,4,11,2018
Key Run Opportunities,11,15,683,3,11,2017
Key Run Opportunities,11,16,1192,3,11,2017
Key Run Opportunities,11,17,1520,3,11,2017
Key Run Opportunities,11,18,519,2,11,2018
Key Run Opportunities,11,19,2484,1,11,2018
Pancake Blocks,11,0,829,2,11,2017
Pancake Blocks,11,1,829,2,11,2018
Pancake Blocks,11,2,683,1,11,2017
Passes Defensed,11,0,613,14,11,2018
Passes Defensed,11,1,1581,12,11,2018
Passes Defensed,11,2,3784,12,11,2018
Passes Defensed,11,3,148,11,11,2017
Passes Defensed,11,4,355,10,11,2017
Passes Defensed,11,5,1245,9,11,2017
Passes Defensed,11,6,1245,8,11,2018
Passes Defensed,11,7,538,7,11,2017
Passes Defensed,11,8,181,7,11,2018
Passes Defensed,11,9,648,7,11,2018
Passes Defensed,11,10,140,6,11,2017
Passes Defensed,11,11,613,6,11,2017
Passes Defensed,11,12,1612,5,11,2018
Passes Defensed,11,13,648,4,11,2017
Passes Defensed,11,14,1581,4,11,2017
Passes Defensed,11,15,1612,4,11,2017
Passes Defensed,11,16,2968,3,11,2018
Passes Defensed,11,17,582,2,11,2017
Passes Defensed,11,18,615,2,11,2017
Passes Defensed,11,19,746,1,11,2017
Passes Defensed,11,20,1469,1,11,2017
Passes Defensed,11,21,2847,1,11,2017
Passes Defensed,11,22,574,1,11,2018
Passes Defensed,11,23,1469,1,11,2018
Passes Defensed,11,24,3020,1,11,2018
Punt Return Yards,11,0,2590,258,11,2018
Punt Return Yards,11,1,746,170,11,2017
Kickoff Return Yards,11,0,831,807,11,2017
Kickoff Return Yards,11,1,1142,614,11,2018
Kickoff Return Yards,11,2,1581,83,11,2017
Kickoff Return Yards,11,3,181,71,11,2018
Kickoff Return Yards,11,4,521,51,11,2017
Kickoff Return TDs,11,0,831,2,11,2017
Points Scored,11,0,3622,122,11,2018
Points Scored,11,1,1,98,11,2017
Points Scored,11,2,435,48,11,2018
Points Scored,11,3,435,44,11,2017
Points Scored,11,4,2590,36,11,2018
Points Scored,11,5,558,24,11,2018
Points Scored,11,6,521,20,11,2017
Points Scored,11,7,503,18,11,2017
Points Scored,11,8,831,18,11,2017
Points Scored,11,9,1142,18,11,2018
Points Scored,11,10,1667,18,11,2018
Points Scored,11,11,464,12,11,2017
Points Scored,11,12,558,12,11,2017
Points Scored,11,13,683,12,11,2017
Points Scored,11,14,1667,12,11,2017
Points Scored,11,15,2564,12,11,2017
Points Scored,11,16,541,12,11,2018
Points Scored,11,17,1054,12,11,2018
Points Scored,11,18,368,6,11,2017
Points Scored,11,19,1021,6,11,2017
Points Scored,11,20,1520,6,11,2017
Points Scored,11,21,503,6,11,2018
Points Scored,11,22,1520,6,11,2018
Points Scored,11,23,2484,6,11,2018
Points Scored,11,24,3784,6,11,2018
Yards from Scrimmage,11,0,435,1210,11,2018
Yards from Scrimmage,11,1,503,1018,11,2017
Yards from Scrimmage,11,2,503,842,11,2018
Yards from Scrimmage,11,3,435,810,11,2017
Yards from Scrimmage,11,4,558,692,11,2017
Yards from Scrimmage,11,5,1021,613,11,2017
Yards from Scrimmage,11,6,1667,591,11,2018
Yards from Scrimmage,11,7,1142,586,11,2018
Yards from Scrimmage,11,8,521,535,11,2017
Yards from Scrimmage,11,9,2590,499,11,2018
Yards from Scrimmage,11,10,831,493,11,2017
Yards from Scrimmage,11,11,464,364,11,2017
Yards from Scrimmage,11,12,1667,349,11,2017
Yards from Scrimmage,11,13,1520,346,11,2017
Yards from Scrimmage,11,14,1520,336,11,2018
Yards from Scrimmage,11,15,558,329,11,2018
Yards from Scrimmage,11,16,541,307,11,2018
Yards from Scrimmage,11,17,3374,299,11,2018
Yards from Scrimmage,11,18,464,251,11,2018
Yards from Scrimmage,11,19,683,152,11,2017
Yards from Scrimmage,11,20,2564,120,11,2017
Yards from Scrimmage,11,21,925,67,11,2017
Yards from Scrimmage,11,22,1054,58,11,2018
Yards from Scrimmage,11,23,2484,47,11,2018
Yards from Scrimmage,11,24,1114,44,11,2018
Yards from Scrimmage,11,25,2546,41,11,2018
Yards from Scrimmage,11,26,3384,20,11,2018
Yards from Scrimmage,11,27,368,18,11,2017
Yards from Scrimmage,11,28,1169,14,11,2018
All-Purpose Yards,11,0,831,1300,11,2017
All-Purpose Yards,11,1,435,1210,11,2018
All-Purpose Yards,11,2,1142,1200,11,2018
All-Purpose Yards,11,3,503,1018,11,2017
All-Purpose Yards,11,4,503,842,11,2018
All-Purpose Yards,11,5,435,811,11,2017
All-Purpose Yards,11,6,2590,757,11,2018
All-Purpose Yards,11,7,558,692,11,2017
All-Purpose Yards,11,8,1021,613,11,2017
All-Purpose Yards,11,9,1667,591,11,2018
All-Purpose Yards,11,10,521,586,11,2017
All-Purpose Yards,11,11,464,364,11,2017
All-Purpose Yards,11,12,1667,349,11,2017
All-Purpose Yards,11,13,1520,346,11,2017
All-Purpose Yards,11,14,1520,336,11,2018
All-Purpose Yards,11,15,558,329,11,2018
All-Purpose Yards,11,16,3374,312,11,2018
All-Purpose Yards,11,17,541,307,11,2018
All-Purpose Yards,11,18,464,251,11,2018
All-Purpose Yards,11,19,746,170,11,2017
All-Purpose Yards,11,20,683,152,11,2017
All-Purpose Yards,11,21,2564,120,11,2017
All-Purpose Yards,11,22,3784,118,11,2018
All-Purpose Yards,11,23,1581,83,11,2017
All-Purpose Yards,11,24,613,72,11,2018
All-Purpose Yards,11,25,181,71,11,2018
All-Purpose Yards,11,26,925,67,11,2017
All-Purpose Yards,11,27,1054,58,11,2018
All-Purpose Yards,11,28,2484,47,11,2018
All-Purpose Yards,11,29,1114,44,11,2018
All-Purpose Yards,11,30,2546,41,11,2018
All-Purpose Yards,11,31,1245,35,11,2017
All-Purpose Yards,11,32,3384,26,11,2018
All-Purpose Yards,11,33,613,25,11,2017
All-Purpose Yards,11,34,1612,23,11,2018
All-Purpose Yards,11,35,368,18,11,2017
All-Purpose Yards,11,36,2847,17,11,2018
All-Purpose Yards,11,37,648,15,11,2017
All-Purpose Yards,11,38,1169,14,11,2018
All-Purpose Yards,11,39,3863,14,11,2018
All-Purpose Yards,11,40,148,13,11,2017
All-Purpose Yards,11,41,355,7,11,2017
All-Purpose Yards,11,42,1378,6,11,2018
All-Purpose Yards,11,43,829,5,11,2017
Quarterback Rating,12,0,112,921,12,2017
Quarterback Rating,12,1,714,818,12,2018
Pass Attempts,12,0,112,531,12,2017
Pass Attempts,12,1,714,417,12,2018
Pass Attempts,12,2,2386,119,12,2018
Pass Attempts,12,3,714,39,12,2017
Pass Attempts,12,4,3201,15,12,2018
Pass Completions,12,0,112,359,12,2017
Pass Completions,12,1,714,262,12,2018
Pass Completions,12,2,2386,83,12,2018
Pass Completions,12,3,714,30,12,2017
Pass Completions,12,4,3201,12,12,2018
Completion Percentage,12,0,112,676,12,2017
Completion Percentage,12,1,714,628,12,2018
Passing Yards,12,0,112,3714,12,2017
Passing Yards,12,1,714,3140,12,2018
Passing Yards,12,2,2386,917,12,2018
Passing Yards,12,3,714,353,12,2017
Passing Yards,12,4,3201,130,12,2018
Yards per Pass Attempt,12,0,714,753,12,2018
Yards per Pass Attempt,12,1,112,699,12,2017
Passing Touchdowns,12,0,112,21,12,2017
Passing Touchdowns,12,1,714,10,12,2018
Passing Touchdowns,12,2,714,4,12,2017
Passing Touchdowns,12,3,2386,3,12,2018
Passing Touchdowns,12,4,3201,1,12,2018
Times Sacked,12,0,714,44,12,2018
Times Sacked,12,1,112,35,12,2017
Times Sacked,12,2,2386,10,12,2018
Times Sacked,12,3,3201,1,12,2018
300 Yards Passing,12,0,714,3,12,2018
300 Yards Passing,12,1,112,2,12,2017
Rushing Attempts,12,0,1560,238,12,2017
Rushing Attempts,12,1,1560,118,12,2018
Rushing Attempts,12,2,232,111,12,2017
Rushing Attempts,12,3,714,60,12,2018
Rushing Attempts,12,4,112,41,12,2017
Rushing Attempts,12,5,1141,29,12,2017
Rushing Attempts,12,6,3237,26,12,2018
Rushing Attempts,12,7,850,8,12,2018
Rushing Attempts,12,8,2386,8,12,2018
Rushing Attempts,12,9,785,7,12,2017
Rushing Attempts,12,10,1508,5,12,2017
Rushing Attempts,12,11,785,5,12,2018
Rushing Attempts,12,12,807,5,12,2018
Rushing Attempts,12,13,3286,4,12,2018
Rushing Attempts,12,14,1508,3,12,2018
Rushing Attempts,12,15,714,2,12,2017
Rushing Attempts,12,16,1808,1,12,2017
Rushing Attempts,12,17,3201,1,12,2018
Rushing Yards,12,0,1560,1015,12,2017
Rushing Yards,12,1,232,633,12,2017
Rushing Yards,12,2,1560,491,12,2018
Rushing Yards,12,3,112,235,12,2017
Rushing Yards,12,4,714,210,12,2018
Rushing Yards,12,5,3237,88,12,2018
Rushing Yards,12,6,1141,76,12,2017
Rushing Yards,12,7,2386,35,12,2018
Rushing Yards,12,8,3286,22,12,2018
Rushing Yards,12,9,785,21,12,2017
Rushing Yards,12,10,785,19,12,2018
Rushing Yards,12,11,714,18,12,2017
Rushing Yards,12,12,1508,17,12,2017
Rushing Yards,12,13,807,13,12,2018
Rushing Yards,12,14,1808,11,12,2017
Rushing Yards,12,15,3201,8,12,2018
Rushing Yards,12,16,850,3,12,2018
Yards per Carry,12,0,232,570,12,2017
Yards per Carry,12,1,1560,426,12,2017
Yards per Carry,12,2,1560,416,12,2018
Rushing Touchdowns,12,0,1560,8,12,2017
Rushing Touchdowns,12,1,1560,5,12,2018
Rushing Touchdowns,12,2,232,4,12,2017
Rushing Touchdowns,12,3,714,2,12,2018
Rushing Touchdowns,12,4,3237,2,12,2018
100 Yards Rushing,12,0,1560,3,12,2017
100 Yards Rushing,12,1,232,1,12,2017
Receptions,12,0,785,88,12,2017
Receptions,12,1,785,83,12,2018
Receptions,12,2,850,63,12,2018
Receptions,12,3,1508,60,12,2017
Receptions,12,4,1508,50,12,2018
Receptions,12,5,850,49,12,2017
Receptions,12,6,1560,39,12,2017
Receptions,12,7,683,38,12,2018
Receptions,12,8,3326,35,12,2018
Receptions,12,9,1306,34,12,2017
Receptions,12,10,53,33,12,2017
Receptions,12,11,807,26,12,2017
Receptions,12,12,1560,24,12,2018
Receptions,12,13,232,20,12,2017
Receptions,12,14,288,17,12,2018
Receptions,12,15,713,16,12,2017
Receptions,12,16,807,13,12,2018
Receptions,12,17,1808,10,12,2017
Receptions,12,18,1957,7,12,2017
Receptions,12,19,3237,5,12,2018
Receptions,12,20,288,3,12,2017
Receptions,12,21,1111,2,12,2017
Receptions,12,22,1141,2,12,2017
Receptions,12,23,361,2,12,2018
Receiving Yards,12,0,785,1086,12,2018
Receiving Yards,12,1,785,1046,12,2017
Receiving Yards,12,2,850,721,12,2018
Receiving Yards,12,3,1508,712,12,2018
Receiving Yards,12,4,1508,608,12,2017
Receiving Yards,12,5,3326,534,12,2018
Receiving Yards,12,6,850,502,12,2017
Receiving Yards,12,7,683,368,12,2018
Receiving Yards,12,8,53,342,12,2017
Receiving Yards,12,9,1560,336,12,2017
Receiving Yards,12,10,1306,330,12,2017
Receiving Yards,12,11,807,305,12,2017
Receiving Yards,12,12,1560,228,12,2018
Receiving Yards,12,13,713,202,12,2017
Receiving Yards,12,14,807,165,12,2018
Receiving Yards,12,15,232,162,12,2017
Receiving Yards,12,16,288,139,12,2018
Receiving Yards,12,17,1808,104,12,2017
Receiving Yards,12,18,288,59,12,2017
Receiving Yards,12,19,1957,34,12,2017
Receiving Yards,12,20,1141,32,12,2017
Receiving Yards,12,21,3237,19,12,2018
Receiving Yards,12,22,1111,5,12,2017
Receiving Yards,12,23,361,5,12,2018
Yards per Reception,12,0,3326,1526,12,2018
Yards per Reception,12,1,1508,1424,12,2018
Yards per Reception,12,2,785,1308,12,2018
Yards per Reception,12,3,785,1189,12,2017
Yards per Reception,12,4,850,1144,12,2018
Yards per Reception,12,5,53,1036,12,2017
Yards per Reception,12,6,850,1024,12,2017
Yards per Reception,12,7,1508,1013,12,2017
Yards per Reception,12,8,1306,971,12,2017
Yards per Reception,12,9,683,968,12,2018
Yards per Reception,12,10,1560,862,12,2017
Receiving Touchdowns,12,0,807,5,12,2017
Receiving Touchdowns,12,1,850,5,12,2017
Receiving Touchdowns,12,2,1508,4,12,2017
Receiving Touchdowns,12,3,1508,4,12,2018
Receiving Touchdowns,12,4,713,3,12,2017
Receiving Touchdowns,12,5,785,3,12,2017
Receiving Touchdowns,12,6,785,3,12,2018
Receiving Touchdowns,12,7,1306,2,12,2017
Receiving Touchdowns,12,8,683,2,12,2018
Receiving Touchdowns,12,9,850,2,12,2018
Receiving Touchdowns,12,10,3326,2,12,2018
Receiving Touchdowns,12,11,53,1,12,2017
Receiving Touchdowns,12,12,232,1,12,2017
Receiving Touchdowns,12,13,1560,1,12,2017
Receiving Touchdowns,12,14,288,1,12,2018
Targeted Passes,12,0,785,143,12,2017
Targeted Passes,12,1,785,115,12,2018
Targeted Passes,12,2,850,98,12,2018
Targeted Passes,12,3,1508,86,12,2018
Targeted Passes,12,4,1508,84,12,2017
Targeted Passes,12,5,850,71,12,2017
Targeted Passes,12,6,3326,62,12,2018
Targeted Passes,12,7,1560,57,12,2017
Targeted Passes,12,8,1306,53,12,2017
Targeted Passes,12,9,683,53,12,2018
Targeted Passes,12,10,53,47,12,2017
Targeted Passes,12,11,1560,37,12,2018
Targeted Passes,12,12,807,32,12,2017
Targeted Passes,12,13,232,26,12,2017
Targeted Passes,12,14,807,22,12,2018
Targeted Passes,12,15,713,21,12,2017
Targeted Passes,12,16,288,19,12,2018
Targeted Passes,12,17,1808,13,12,2017
Targeted Passes,12,18,1957,10,12,2017
Targeted Passes,12,19,1111,5,12,2017
Targeted Passes,12,20,361,5,12,2018
Targeted Passes,12,21,3237,5,12,2018
Targeted Passes,12,22,288,4,12,2017
Targeted Passes,12,23,1141,3,12,2017
Targeted Passes,12,24,3286,2,12,2018
Passes Dropped,12,0,785,6,12,2017
Passes Dropped,12,1,850,6,12,2018
Passes Dropped,12,2,1508,4,12,2018
Passes Dropped,12,3,53,3,12,2017
Passes Dropped,12,4,232,3,12,2017
Passes Dropped,12,5,1560,3,12,2017
Passes Dropped,12,6,683,3,12,2018
Passes Dropped,12,7,807,2,12,2017
Passes Dropped,12,8,1508,2,12,2017
Passes Dropped,12,9,361,2,12,2018
Passes Dropped,12,10,785,2,12,2018
Passes Dropped,12,11,1560,2,12,2018
Passes Dropped,12,12,1306,1,12,2017
Passes Dropped,12,13,288,1,12,2018
Passes Dropped,12,14,807,1,12,2018
Passes Dropped,12,15,3326,1,12,2018
100 Yards Receiving,12,0,785,4,12,2017
100 Yards Receiving,12,1,785,4,12,2018
100 Yards Receiving,12,2,850,1,12,2018
100 Yards Receiving,12,3,1508,1,12,2018
Interceptions,12,0,421,7,12,2018
Interceptions,12,1,737,5,12,2017
Interceptions,12,2,847,5,12,2017
Interceptions,12,3,421,3,12,2017
Interceptions,12,4,737,3,12,2018
Interceptions,12,5,539,2,12,2018
Interceptions,12,6,1371,2,12,2018
Interceptions,12,7,87,1,12,2017
Interceptions,12,8,539,1,12,2017
Interceptions,12,9,1279,1,12,2017
Interceptions,12,10,1371,1,12,2017
Interceptions,12,11,1705,1,12,2017
Interceptions,12,12,2266,1,12,2017
Interceptions,12,13,203,1,12,2018
Interceptions,12,14,440,1,12,2018
Interceptions,12,15,847,1,12,2018
Interceptions,12,16,1115,1,12,2018
Interceptions,12,17,1279,1,12,2018
Interceptions,12,18,2230,1,12,2018
Pass Defense Percentage,12,0,847,820,12,2017
Pass Defense Percentage,12,1,421,800,12,2018
Pass Defense Percentage,12,2,539,799,12,2018
Pass Defense Percentage,12,3,421,793,12,2017
Pass Defense Percentage,12,4,737,791,12,2017
Pass Defense Percentage,12,5,1115,791,12,2018
Pass Defense Percentage,12,6,737,781,12,2018
Pass Defense Percentage,12,7,1371,777,12,2017
Pass Defense Percentage,12,8,203,767,12,2018
Pass Defense Percentage,12,9,847,765,12,2018
Pass Defense Percentage,12,10,1371,760,12,2018
Pass Defense Percentage,12,11,539,750,12,2017
Pass Defense Percentage,12,12,211,703,12,2017
Tackles,12,0,1279,120,12,2017
Tackles,12,1,87,97,12,2017
Tackles,12,2,1716,86,12,2018
Tackles,12,3,421,85,12,2017
Tackles,12,4,421,83,12,2018
Tackles,12,5,1371,69,12,2017
Tackles,12,6,1371,60,12,2018
Tackles,12,7,865,55,12,2018
Tackles,12,8,101,54,12,2018
Tackles,12,9,539,53,12,2017
Tackles,12,10,737,53,12,2017
Tackles,12,11,847,51,12,2017
Tackles,12,12,1349,49,12,2018
Tackles,12,13,539,48,12,2018
Tackles,12,14,975,47,12,2018
Tackles,12,15,847,43,12,2018
Tackles,12,16,589,42,12,2018
Tackles,12,17,1349,37,12,2017
Tackles,12,18,1115,37,12,2018
Tackles,12,19,1279,37,12,2018
Tackles,12,20,975,36,12,2017
Tackles,12,21,737,32,12,2018
Tackles,12,22,440,30,12,2017
Tackles,12,23,865,29,12,2017
Tackles,12,24,589,28,12,2017
Tackles,12,25,211,26,12,2017
Tackles,12,26,203,25,12,2018
Tackles,12,27,101,22,12,2017
Tackles,12,28,2230,20,12,2018
Tackles,12,29,440,19,12,2018
Tackles,12,30,3827,16,12,2018
Tackles,12,31,1770,8,12,2017
Tackles,12,32,2266,8,12,2017
Tackles,12,33,1445,8,12,2018
Tackles,12,34,1705,6,12,2017
Tackles,12,35,785,3,12,2017
Tackles,12,36,1560,3,12,2017
Tackles,12,37,53,2,12,2017
Tackles,12,38,1508,2,12,2017
Tackles,12,39,714,2,12,2018
Tackles,12,40,850,2,12,2018
